Address Number,Alpha Name,Or Ty,Contract Number,Fund ,Fund,Cst Ctr / Job,Cost Center / Job,Obj Acct,Obj Account Description,2nd Item Number,2nd Item Number,Extended Price,Amount Received,Amount Open
7370,POWELL MECHANICAL,OS,48500,29050,STIMULUS FUND,  0229500001,EECBG STIMULUS DOE,51101,REGULAR,1155,CONSTRUCTION SERVICES,"2,330.00",0.00,0.00
20142,PUGLIANO CONSTRUCTION CO. INC.,OS,46958,40001,CAP PROJ - PROJ FUND,  0141001012,DISTRICT 1 NEIGHBORHOOD NEEDS,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"1,111.10",0.00,0.00
208474,"GROUND TECHNOLOGY, INC.",OS,46464,40011,CAPITAL PROJECTS - 2006 BOND,  2326737010,POLICE ZONE ENTRANCE RENOVATIO,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,635.12,0.00,0.00
208474,"GROUND TECHNOLOGY, INC.",OS,46464,26010,CDBG FUND,  4039103060,SLOPE FAILURE REMEDIATION,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,99.98,0.00,0.00
208474,"GROUND TECHNOLOGY, INC.",OS,46464,26010,CDBG FUND,  4039103060,SLOPE FAILURE REMEDIATION,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"16,000.00",0.00,0.00
208474,"GROUND TECHNOLOGY, INC.",OS,46464,26010,CDBG FUND,  4045000100,PARK RECONSTRUCTION PROG - EC,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"29,877.40",0.00,0.00
208474,"GROUND TECHNOLOGY, INC.",OS,46464,26010,CDBG FUND,  4045000100,PARK RECONSTRUCTION PROG - EC,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"5,956.65",0.00,0.00
208474,"GROUND TECHNOLOGY, INC.",OS,46464,26010,CDBG FUND,  4045000100,PARK RECONSTRUCTION PROG - EC,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"27,141.05",0.00,0.00
208474,"GROUND TECHNOLOGY, INC.",OS,46464,26010,CDBG FUND,  4045000100,PARK RECONSTRUCTION PROG - EC,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"50,000.00",0.00,0.00
331769,"AECOM TECHNICAL SERVICES, INC.",OS,49246,26010,CDBG FUND,  1105904050,TRAIL DEVELOPMENT,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"18,607.39",0.00,0.00
331769,"AECOM TECHNICAL SERVICES, INC.",OS,49246,26010,CDBG FUND,  1105904050,TRAIL DEVELOPMENT,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"50,000.00",0.00,0.00
331769,"AECOM TECHNICAL SERVICES, INC.",OS,49246,26010,CDBG FUND,  1105904050,TRAIL DEVELOPMENT,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"50,000.00",0.00,0.00
331769,"AECOM TECHNICAL SERVICES, INC.",OS,49246,26010,CDBG FUND,  1156132070,PLANNING & MANAGEMENT,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"10,000.00",0.00,0.00
331769,"AECOM TECHNICAL SERVICES, INC.",OS,49246,26010,CDBG FUND,  1167373090,COMPREHENSIVE PLANS,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"100,000.00",0.00,0.00
331769,"AECOM TECHNICAL SERVICES, INC.",OS,49246,29040,GRANTS FUND,  1129400015,DCED-SECTOR PLANNING,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"90,000.00",0.00,0.00
331769,"AECOM TECHNICAL SERVICES, INC.",OS,49246,29040,GRANTS FUND,  1129400734,HEINZ PEDESTRIAN BIKE PATH,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"135,000.00",0.00,0.00
126252,RBA GROUP,OS,42048,40001,CAP PROJ - PROJ FUND,  4423200102,FANCOURT STREET BRIDGE (TIP),53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"15,729.98",0.00,0.00
126252,RBA GROUP,OS,42048,40001,CAP PROJ - PROJ FUND,  4423200102,FANCOURT STREET BRIDGE (TIP),53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"39,949.62",0.00,0.00
126252,RBA GROUP,OS,42048,40001,CAP PROJ - PROJ FUND,  4423200102,FANCOURT STREET BRIDGE (TIP),53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"20,329.82",0.00,0.00
126252,RBA GROUP,OS,42048,40001,CAP PROJ - PROJ FUND,  4423200102,FANCOURT STREET BRIDGE (TIP),53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"5,493.89",0.00,0.00
126252,RBA GROUP,OS,42048,40001,CAP PROJ - PROJ FUND,  4423200104,FANCOURT STREET BRIDGE (TIP),53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"70,513.18",0.00,0.00
293682,"PARSONS BRINCKERHOFF, INC.",OS,47390,26010,CDBG FUND,  4433052040,SOUTH HIGHLAND AVE BRIDGE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"1,390.28",0.00,0.00
293682,"PARSONS BRINCKERHOFF, INC.",OS,47390,26010,CDBG FUND,  4433052040,SOUTH HIGHLAND AVE BRIDGE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"63,828.79",0.00,0.00
293682,"PARSONS BRINCKERHOFF, INC.",OS,47390,26010,CDBG FUND,  4433052040,SOUTH HIGHLAND AVE BRIDGE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"27,311.27",0.00,0.00
293682,"PARSONS BRINCKERHOFF, INC.",OS,47390,26010,CDBG FUND,  4433052040,SOUTH HIGHLAND AVE BRIDGE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"379,597.95",0.00,0.00
293682,"PARSONS BRINCKERHOFF, INC.",OS,47390,26010,CDBG FUND,  4433052040,SOUTH HIGHLAND AVE BRIDGE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"48,852.05",0.00,0.00
302486,HITACHI DATA SYSTEMS CORPORATION,OS,47794,11101,GENERAL FUND,      230000,PS - POLICE BUREAU,57501,MACHINERY AND EQUIPMENT,1154,PROFESSIONAL SERVICES,"10,000.00",0.00,0.00
302486,HITACHI DATA SYSTEMS CORPORATION,OS,47794,11101,GENERAL FUND,      230000,PS - POLICE BUREAU,57501,MACHINERY AND EQUIPMENT,1154,PROFESSIONAL SERVICES,"134,455.12",0.00,0.00
302486,HITACHI DATA SYSTEMS CORPORATION,OS,47794,29040,GRANTS FUND,  0229400005,PORT SECURITY GRANT,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"298,301.97",0.00,0.00
302486,HITACHI DATA SYSTEMS CORPORATION,OS,47794,29040,GRANTS FUND,  0329400053,COPS TECHNOLOGY PROGRAM DOJ,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"236,000.00",0.00,0.00
9149,LGA PARTNERS LP,OS,48831,40011,CAPITAL PROJECTS - 2006 BOND,  5026737709,MELLON PARK RESTROOM FACILITY,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"33,700.00",0.00,0.00
9149,LGA PARTNERS LP,OS,48831,40001,CAP PROJ - PROJ FUND,  0141004012,DISTRICT 4 NEIGHBORHOOD NEEDS,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"29,850.00",0.00,0.00
9149,LGA PARTNERS LP,OS,48831,40001,CAP PROJ - PROJ FUND,  0141004012,DISTRICT 4 NEIGHBORHOOD NEEDS,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"25,109.00",0.00,0.00
9149,LGA PARTNERS LP,OS,48831,40001,CAP PROJ - PROJ FUND,  0141004012,DISTRICT 4 NEIGHBORHOOD NEEDS,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"65,201.00",0.00,0.00
9149,LGA PARTNERS LP,OS,48831,40001,CAP PROJ - PROJ FUND,  0141005012,DISTRICT 5 NEIGHBORHOOD NEEDS,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"3,000.00",0.00,0.00
227,GAI CONSULTANTS INC,OS,45987,40001,CAP PROJ - PROJ FUND,  4026719705,WENZELL AVE RECONSTRUCTION,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"82,584.06",0.00,0.00
227,GAI CONSULTANTS INC,OS,45987,40001,CAP PROJ - PROJ FUND,  4026719705,WENZELL AVE RECONSTRUCTION,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"20,646.02",0.00,0.00
227,GAI CONSULTANTS INC,OS,45987,40001,CAP PROJ - PROJ FUND,  4026719705,WENZELL AVE RECONSTRUCTION,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"317,415.94",0.00,0.00
227,GAI CONSULTANTS INC,OS,45987,40001,CAP PROJ - PROJ FUND,  4026719705,WENZELL AVE RECONSTRUCTION,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"79,353.98",0.00,0.00
155852,TRANS ASSOCIATES ENGINEERING CONSULTANTS,OS,46939,40001,CAP PROJ - PROJ FUND,  4026722203,CBD SIGNAL UPGRADES,53901,PROFESSIONAL SERVICES - CONVER,1155,CONSTRUCTION SERVICES,"100,000.00",0.00,0.00
155852,TRANS ASSOCIATES ENGINEERING CONSULTANTS,OS,46939,40001,CAP PROJ - PROJ FUND,  4026722203,CBD SIGNAL UPGRADES,53901,PROFESSIONAL SERVICES - CONVER,1155,CONSTRUCTION SERVICES,"25,000.00",0.00,0.00
155852,TRANS ASSOCIATES ENGINEERING CONSULTANTS,OS,46939,40001,CAP PROJ - PROJ FUND,  4026722203,CBD SIGNAL UPGRADES,53901,PROFESSIONAL SERVICES - CONVER,1155,CONSTRUCTION SERVICES,"287,806.13",0.00,0.00
155852,TRANS ASSOCIATES ENGINEERING CONSULTANTS,OS,46939,40001,CAP PROJ - PROJ FUND,  4026722203,CBD SIGNAL UPGRADES,53901,PROFESSIONAL SERVICES - CONVER,1155,CONSTRUCTION SERVICES,"71,951.53",0.00,0.00
58939,CDR MAGUIRE INC,OS,48830,40001,CAP PROJ - PROJ FUND,  4026729403,PROJECT MANAGEMENT SERVICES,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"100,000.00",0.00,0.00
58939,CDR MAGUIRE INC,OS,48830,40001,CAP PROJ - PROJ FUND,  4026729403,PROJECT MANAGEMENT SERVICES,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"40,000.00",0.00,0.00
58939,CDR MAGUIRE INC,OS,48830,40001,CAP PROJ - PROJ FUND,  4026729403,PROJECT MANAGEMENT SERVICES,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"50,000.00",0.00,0.00
58939,CDR MAGUIRE INC,OS,48830,40001,CAP PROJ - PROJ FUND,  4026729403,PROJECT MANAGEMENT SERVICES,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"200,000.00",0.00,0.00
205055,SAI CONSULTING ENGINEERS INC,OS,43924,40001,CAP PROJ - PROJ FUND,  4026736308,RECONSTRUCTION OF FORBES AVE,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"13,243.74",0.00,0.00
205055,SAI CONSULTING ENGINEERS INC,OS,43924,40001,CAP PROJ - PROJ FUND,  4423200402,FORBES AVE & MARKET STREET,53101,ADMINISTRATIVE FEES,1155,CONSTRUCTION SERVICES,"868,374.52",0.00,0.00
205055,SAI CONSULTING ENGINEERS INC,OS,43924,40001,CAP PROJ - PROJ FUND,  4423200402,FORBES AVE & MARKET STREET,53901,PROFESSIONAL SERVICES - CONVER,1155,CONSTRUCTION SERVICES,"2,003.80",0.00,0.00
205055,SAI CONSULTING ENGINEERS INC,OS,43924,40001,CAP PROJ - PROJ FUND,  4423200402,FORBES AVE & MARKET STREET,53101,ADMINISTRATIVE FEES,1156,CONSULTING SERVICES,"868,374.52",0.00,0.00
205055,SAI CONSULTING ENGINEERS INC,OS,43924,40001,CAP PROJ - PROJ FUND,  4423200402,FORBES AVE & MARKET STREET,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"22,003.80",0.00,0.00
7109,"HDR ENGINEERING, INC.",OS,48201,40001,CAP PROJ - PROJ FUND,  4026737709,GREENFIELD AVENUE BRIDGE,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"9,806.17",0.00,0.00
7109,"HDR ENGINEERING, INC.",OS,48201,40001,CAP PROJ - PROJ FUND,  4026737709,GREENFIELD AVENUE BRIDGE,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"8,947.70",0.00,0.00
7109,"HDR ENGINEERING, INC.",OS,48201,40001,CAP PROJ - PROJ FUND,  4026737709,GREENFIELD AVENUE BRIDGE,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"1,162.90",0.00,0.00
309954,"AECOM TECHNICAL SERVICES, INC.",OS,48329,40001,CAP PROJ - PROJ FUND,  4026734407,BROWN'S HILL ROAD,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"9,232.04",0.00,0.00
309954,"AECOM TECHNICAL SERVICES, INC.",OS,48329,40001,CAP PROJ - PROJ FUND,  4426740910,BEECHWOOD BLVD,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"46,972.25",0.00,0.00
309954,"AECOM TECHNICAL SERVICES, INC.",OS,48329,40001,CAP PROJ - PROJ FUND,  4426740910,BEECHWOOD BLVD,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"187,889.00",0.00,0.00
227,GAI CONSULTANTS INC,OS,48785,26010,CDBG FUND,  4039103060,SLOPE FAILURE REMEDIATION,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"32,299.50",0.00,0.00
227,GAI CONSULTANTS INC,OS,48785,26010,CDBG FUND,  4039103060,SLOPE FAILURE REMEDIATION,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"25,000.00",0.00,0.00
227,GAI CONSULTANTS INC,OS,48785,26010,CDBG FUND,  4045000100,PARK RECONSTRUCTION PROG - EC,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"20,000.00",0.00,0.00
64397,"CAMP DRESSER & MCKEE, INC.",OS,48829,40011,CAPITAL PROJECTS - 2006 BOND,  4426739910,ARCHITECTURAL ENG SERV,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"45,898.89",0.00,0.00
64397,"CAMP DRESSER & MCKEE, INC.",OS,48829,40001,CAP PROJ - PROJ FUND,  4025100004,ARCH/ENGINEER SERVICES,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"16,400.70",0.00,0.00
64397,"CAMP DRESSER & MCKEE, INC.",OS,48829,29050,STIMULUS FUND,  0229500001,EECBG STIMULUS DOE,51101,REGULAR,1154,PROFESSIONAL SERVICES,"219,944.90",0.00,0.00
322195,"BEECH CONSTRUCTION, INC.",OS,48966,26010,CDBG FUND,  4067389040,MCARDLE VIADUCT #1 CONSTRUCTIO,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"3,033,770.60",0.00,0.00
322195,"BEECH CONSTRUCTION, INC.",OS,48966,26010,CDBG FUND,  4067389040,MCARDLE VIADUCT #1 CONSTRUCTIO,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"2,286.82",0.00,0.00
322195,"BEECH CONSTRUCTION, INC.",OS,48966,26010,CDBG FUND,  4067389040,MCARDLE VIADUCT #1 CONSTRUCTIO,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"43,449.54",0.00,0.00
9370,MS CONSULTANTS INC,OS,36295,40001,CAP PROJ - PROJ FUND,  4423303501,MCARDLE VIADUCT NO.2,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,15.77,0.00,0.00
9370,MS CONSULTANTS INC,OS,36295,40001,CAP PROJ - PROJ FUND,  4423303501,MCARDLE VIADUCT NO.2,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"2,031.30",0.00,0.00
305304,"MICHAEL BAKER, JR., INC.",OS,47868,26010,CDBG FUND,  4033059050,WEST OHIO STREET BRIDGE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"175,337.24",0.00,0.00
305304,"MICHAEL BAKER, JR., INC.",OS,47868,26010,CDBG FUND,  4033059050,WEST OHIO STREET BRIDGE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"68,574.50",0.00,0.00
305304,"MICHAEL BAKER, JR., INC.",OS,48588,26010,CDBG FUND,  4067292080,BATES STREET/2ND AVE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"5,602.33",0.00,0.00
305304,"MICHAEL BAKER, JR., INC.",OS,48588,26010,CDBG FUND,  4067292080,BATES STREET/2ND AVE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"44,649.07",0.00,0.00
319880,"GULISEK CONSTRUCTION, L.L.C.",OS,48655,26010,CDBG FUND,  4067292080,BATES STREET/2ND AVE,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"35,470.42",0.00,0.00
319880,"GULISEK CONSTRUCTION, L.L.C.",OS,48655,26010,CDBG FUND,  4067292080,BATES STREET/2ND AVE,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"141,881.68",0.00,0.00
64122,SMITH & BOWEN,OS,48972,11101,GENERAL FUND,      500000,PARKS AND RECREATION,54501,LAND & BUILDINGS,1154,PROFESSIONAL SERVICES,"39,148.89",0.00,0.00
64122,SMITH & BOWEN,OS,48972,11101,GENERAL FUND,      500000,PARKS AND RECREATION,54501,LAND & BUILDINGS,1154,PROFESSIONAL SERVICES,"13,049.61",0.00,0.00
73754,SCIENTIFIC-PGH./R. BAKER & A. MARCINKO,OS,39486,11101,GENERAL FUND,      230000,PS - POLICE BUREAU,54501,LAND & BUILDINGS,1154,PROFESSIONAL SERVICES,"1,670.00",0.00,0.00
107663,"DAH PARTNERS, L.P.",OS,41341,11101,GENERAL FUND,      420000,PW- BUREAU OF PW OPERATIONS,54501,LAND & BUILDINGS,1154,PROFESSIONAL SERVICES,"5,196.97","3,894.82",0.00
295975,"ACCELA, INC.",OS,43322,40001,CAP PROJ - PROJ FUND,  1126735610,WEB-BASED PERMITTING PROJECT,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"10,809.65",0.00,0.00
81009,"MS CONSULTANTS, INC.",OS,46481,26010,CDBG FUND,  4051000040,ARCH/ENGINEERING SERVICES,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"30,000.00",0.00,0.00
9106,MCKAY LODGE FINE ARTS CONSERVATION,OS,47644,29040,GRANTS FUND,  1129400012,KING MELLON ARTWRK CONSERVATIO,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"3,098.00",0.00,0.00
307960,"STV, INC.",OS,47960,40001,CAP PROJ - PROJ FUND,  4026736308,RECONSTRUCTION OF FORBES AVE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,229.26,0.00,0.00
5926,"MICHAEL FACCHIANO CONTRACTING, INC.",OS,48059,40001,CAP PROJ - PROJ FUND,  4026736308,RECONSTRUCTION OF FORBES AVE,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"77,456.69",0.00,0.00
309527,ALLEGHENY COUNTY CONTROLLER,OS,48211,11101,GENERAL FUND,      121000,FINANCE - BPFAS,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"200,000.00","33,750.00",0.00
196604,BELTZHOOVER CITIZENS C.D.C.,OS,48315,40001,CAP PROJ - PROJ FUND,  0141003012,DISTRICT 3 NEIGHBORHOOD NEEDS,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,500.00,0.00,0.00
309949,ROBERT HALF MANAGEMENT RESOURCES,OS,48325,11101,GENERAL FUND,      106000,CITY CONTROLLER,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"2,905.42","2,905.42",0.00
70058,"GENERAL RECREATION, INC.",OS,48359,26010,CDBG FUND,  5067355080,SPLASH ZONS,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"8,464.50",0.00,0.00
310565,"T&B PLANNING, INC.",OS,48403,26010,CDBG FUND,  1167383110,CULTURAL HERITAGE PLAN,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"11,365.00",0.00,0.00
22093,"JOSEPH PALMIERI CONSTRUCTION, INC.",OS,48413,26010,CDBG FUND,  4045000100,PARK RECONSTRUCTION PROG - EC,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"23,203.10",0.00,0.00
312675,"KENNEDY, DAVID M.",OS,48484,11101,GENERAL FUND,      210000,PS - ADMIN AND SUPPORT SERVICE,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"30,253.61",0.00,0.00
7370,POWELL MECHANICAL,OS,48500,29050,STIMULUS FUND,  0229500001,EECBG STIMULUS DOE,55501,PRINTING & BINDING,1155,CONSTRUCTION SERVICES,"15,400.00",0.00,0.00
19226,"MATCON DIAMOND, INC.",OS,48519,26010,CDBG FUND,  4039000090,STREET RESURFACING,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"20,718.00",0.00,0.00
205055,SAI CONSULTING ENGINEERS INC,OS,48531,26010,CDBG FUND,  4067359110,CONSTRUCTION MANAGEMENT/INSPEC,53901,PROFESSIONAL SERVICES - CONVER,1156,CONSULTING SERVICES,"43,074.50",0.00,0.00
205055,SAI CONSULTING ENGINEERS INC,OS,48586,26010,CDBG FUND,  4067292080,BATES STREET/2ND AVE,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"3,604.90",0.00,0.00
318906,"M.T.R. LANDSCAPE ARCHITECTS, L.L.C.",OS,48607,40011,CAPITAL PROJECTS - 2006 BOND,  4426739910,ARCHITECTURAL ENG SERV,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"42,940.58",0.00,0.00
320657,"MCTISH, KUNKEL & ASSOCIATES",OS,48713,26010,CDBG FUND,  4067389040,MCARDLE VIADUCT #1 CONSTRUCTIO,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"20,598.06",0.00,0.00
199879,FIRST VEHICLE SERVICES,OS,48970,11101,GENERAL FUND,      121000,FINANCE - BPFAS,54201,MAINTENANCE,1154,PROFESSIONAL SERVICES,"12,699.09","12,699.09",0.00
166495,A. FOLINO CONSTRUCTION INC,OS,49026,26010,CDBG FUND,  4039000090,STREET RESURFACING,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,857.16,0.00,0.00
166848,MARIANI & RICHARDS INC,OS,49153,26010,CDBG FUND,  1227003010,BUILDING IMPROVEMENTS - DGS,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"2,466.69",0.00,0.00
664,URBAN REDEVELOPMENT AUTHORITY,OS,49396,29040,GRANTS FUND,  0229400033,DCED BUSINESS DISTRICT IMPROV,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"50,000.00",0.00,0.00
253888,"EISLER LANDSCAPES, INC.",OS,46258,29040,GRANTS FUND,  4029400023,DCED-CITY BUSINESS DISTRICT IM,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"27,067.25",0.00,0.00
253888,"EISLER LANDSCAPES, INC.",OS,46258,29040,GRANTS FUND,  4029400023,DCED-CITY BUSINESS DISTRICT IM,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"1,205.75",0.00,0.00
271335,LAMAR COMPANIES,OS,46590,11101,GENERAL FUND,      230000,PS - POLICE BUREAU,53521,MEDICAL AND DENTAL FEES,1154,PROFESSIONAL SERVICES,"4,000.00",0.00,0.00
271335,LAMAR COMPANIES,OS,46590,40011,CAPITAL PROJECTS - 2006 BOND,  2326736809,ZONE 3 POLICE STATION RELOCATI,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"10,817.51",0.00,0.00
295239,COHEN LAW GROUP,OS,48128,40011,CAPITAL PROJECTS - 2006 BOND,  0225100311,INFORMATION SYSTEMS MODERN,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"136,020.00",0.00,0.00
664,URBAN REDEVELOPMENT AUTHORITY,OS,48783,26010,CDBG FUND,  8267321060,MAJOR DEVELOPMENT,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"550,000.00",0.00,0.00
1145,MACKIN ENGINEERING CO.,OS,48683,40011,CAPITAL PROJECTS - 2006 BOND,  4426739910,ARCHITECTURAL ENG SERV,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"32,772.83",0.00,0.00
94468,COMMUNITY HUMAN SVCS./OAKLAND BUSINESS,OS,49465,26010,CDBG FUND,  0123179070,COMMUNITY HUMAN SERVICES,54101,CLEANING,1360,RENTAL (PROPERTIES & EQUIPMENT,"3,000.00",0.00,0.00
94468,COMMUNITY HUMAN SVCS./OAKLAND BUSINESS,OS,49465,26010,CDBG FUND,  0123179070,COMMUNITY HUMAN SERVICES,54101,CLEANING,1360,RENTAL (PROPERTIES & EQUIPMENT,"5,000.00",0.00,0.00
94468,COMMUNITY HUMAN SVCS./OAKLAND BUSINESS,OS,49465,26010,CDBG FUND,  0123179070,COMMUNITY HUMAN SERVICES,54101,CLEANING,1360,RENTAL (PROPERTIES & EQUIPMENT,"4,500.00",0.00,0.00
251571,ALLENTOWN CIVIC ASSN. AKA ALLENTOWN CDC,OS,49466,26010,CDBG FUND,  0123095110,ALLENTOWN COMMUNITY DEVELOPMEN,54105,LANDSCAPING,1450,LANDSCAPE AND  AGRICULTURAL EQ,"3,000.00",0.00,0.00
251571,ALLENTOWN CIVIC ASSN. AKA ALLENTOWN CDC,OS,49466,26010,CDBG FUND,  0123095110,ALLENTOWN COMMUNITY DEVELOPMEN,54105,LANDSCAPING,1450,LANDSCAPE AND  AGRICULTURAL EQ,"2,000.00",0.00,0.00
251571,ALLENTOWN CIVIC ASSN. AKA ALLENTOWN CDC,OS,49466,26010,CDBG FUND,  0123095110,ALLENTOWN COMMUNITY DEVELOPMEN,54105,LANDSCAPING,1450,LANDSCAPE AND  AGRICULTURAL EQ,"2,000.00",0.00,0.00
92401,ST AMBROSE MANOR,OS,49467,26010,CDBG FUND,  0129909110,ST. AMBROSE MANOR,58101,GRANTS,1154,PROFESSIONAL SERVICES,0.00,0.00,0.00
200237,"ACTION-HOUSING, INC.",OS,47941,26090,HPRP,  1100269000,HPRP,53905,PREVENTION,1637,HOMELESS PREVENTION,"1,420,000.00",0.00,0.00
