Contract Type,Agreement #,JDE Vendor #,Submitting Department/Division,Vendor Name,Start Date,End Date,Executive Action #,Box #,Transaction Type,Year,Requestor Email,Contract Status,OK to Show Web
OU,174591,121794,ECONOMIC DEVELOPMENT,ALLEGHENY COUNTY  CONSERVATION,4/1/2015,4/1/2020,5620-15,255,,,,CONTRACT REVIEW,Y
OU,144190,1543123,JAIL,TOUCH LEGAL INC DBA TOUCH SONI,4/1/2015,3/31/2017,5594-15,255,,,,CONTRACT REVIEW,Y
OU,173904,1720143,HEALTH,MSA SYSTEMS INTEGRATION,4/1/2015,,,255,,,,CONTRACT REVIEW,Y
OU,174527,141255,HUMAN SERVICES,PORT AUTHORITY,4/1/2015,4/30/2015,,255,,,,CONTRACT REVIEW,Y
PI,48466,CITY ONLY,PURCHASING,ORKIN LLC,4/1/2015,3/31/2016,,255,,,,CONTRACT REVIEW,Y
OU,173907,1372860,HEALTH,CALVARY INC DBA KQV RADIO,4/1/2015,3/31/2016,542715,255,,,,CONTRACT REVIEW,Y
OU,173904,1720143,HEALTH,MSA SYSTEMS INTEGRATION,4/1/2015,3/31/2018,5412-15,255,,,,CONTRACT REVIEW,Y
PI,48462,CITY ONLY,PURCHASING,BAIANO CONSTRUCTION,4/1/2015,3/31/2016,,255,,,,CONTRACT REVIEW,Y
PI,48265,121902,PURCHASING,LINDY PAVING CO,4/1/2015,3/31/2016,,255,,,,CONTRACT REVIEW,Y
PI,48266,139783,PURCHASING,TRESCO PAVING,4/1/2015,3/31/2016,,255,,,,CONTRACT REVIEW,Y
PI,48269,137555,PURCHASING,RUSSELL STANDARD,4/1/2015,3/31/2016,,255,,,,CONTRACT REVIEW,Y
PI,48277,199092,PURCHASING,THE LANE CONSTRUCTION CORP,4/1/2015,3/31/2016,,255,,,,CONTRACT REVIEW,Y
PI,48275,1555606,PURCHASING,HEI-WAY,4/1/2015,3/31/2016,,255,,,,CONTRACT REVIEW,Y
PI,47849,CITY ONLY,PURCHASING,KEYSTONE COMMERCIAL SERV,4/1/2015,6/30/2015,,255,,,,CONTRACT REVIEW,Y
PI,48282,CITY ONLY,PURCHASING,ALLEGHENY CITY ELECTRIC,4/1/2015,3/31/2016,,255,,,,CONTRACT REVIEW,Y
OU,173492,121797,DISTRICT ATTORNEY,ALCO PARKING CORP,4/1/2015,3/31/2016,5422-15,254,,,,CONTRACT REVIEW,Y
OJ,173459,125177,ADMINISTRATIVE SERVICES,CROWN CASTLE USA INC,4/1/2015,3/31/2025,5392-15,254,,,,CONTRACT REVIEW,Y
PI,48450,128462,PURCHASING,GROFF TRACTOR & EQUIPMENT,4/1/2015,3/31/2016,,254,,,,CONTRACT REVIEW,Y
OU,173468,2160167,EMERGENCY MANAGEMENT,MERCURIO MATTHEW FORREST,4/1/2015,12/31/2015,5496-15,254,,,,CONTRACT REVIEW,Y
OU,172898,2034383,HEALTH,BURELLES INFO SERV LLC DBA MUT,4/1/2015,3/31/2016,5134-15,253,,,,CONTRACT REVIEW,Y
OJ,172722,1808199,PARKS,ALLEGHENY PARK FLYERS INC,4/1/2015,3/31/2016,5364-15,253,,,,CONTRACT REVIEW,Y
PI,48447,1576719,PURCHASING,PICTOMETRY INTERNATIONAL,4/1/2015,9/30/2016,,253,,,,CONTRACT REVIEW,Y
OU,172919,127959,HUMAN SERVICES,GAUDENZIA INC,4/1/2015,3/31/2016,5211-15,253,,,,CONTRACT REVIEW,Y
OU,172924,127959,HUMAN SERVICES,GAUDENZIA INC,4/1/2015,3/31/2016,5211-15,253,,,,CONTRACT REVIEW,Y
OU,172906,121563,HUMAN SERVICES,ACTION HOUSING  INC,4/1/2015,3/31/2016,5223-15,253,,,,CONTRACT REVIEW,Y
OU,172625,136145,MEDICAL EXAMINER,PORTER LEE CORPORATION,4/1/2015,3/31/2016,5061-15,253,,,,CONTRACT REVIEW,Y
OS,172528,133806,PUBLIC WORKS CAPITAL,FACCHIANO MICHAEL,4/1/2015,10/30/2015,5260-15,253,,,,CONTRACT REVIEW,Y
OU,172621,133695,HUMAN SERVICES,MERCY LIFE CENTER CORP DBA MER,4/1/2015,3/31/2016,5224-15,252,,,,CONTRACT REVIEW,Y
OU,172609,133695,HUMAN SERVICES,MERCY LIFE CENTER CORP DBA MER,4/1/2015,3/31/2016,5224-15,252,,,,CONTRACT REVIEW,Y
OU,172619,141225,HUMAN SERVICES,ALLEGHENY VALLEY ASSOC OF CHUR,4/1/2015,3/31/2016,5217-15,252,,,,CONTRACT REVIEW,Y
OU,172613,138324,HUMAN SERVICES,SISTERS PLACE,4/1/2015,3/31/2016,5217-15,252,,,,CONTRACT REVIEW,Y
OU,171752,1582024,COURT OF COMMON PLEAS,WALSH PAUL J ESQ,4/1/2015,3/31/2017,5085-15,251,,,,CONTRACT REVIEW,Y
OS,172701,666809,PUBLIC WORKS CAPITAL,CARMEN PALIOTTA CONTRACTING IN,4/6/2015,9/14/2015,6748-15,270,,,,CONTRACT REVIEW,Y
OS,172701,666809,PUBLIC WORKS CAPITAL,CARMEN PALIOTTA CONTRACTING IN,4/6/2015,9/14/2015,5258-15,258,,,,CONTRACT REVIEW,Y
OS,172701,666809,PUBLIC WORKS CAPITAL,CARMEN PALIOTTA CONTRACTING IN,4/6/2015,9/14/2015,5258-15,253,,,,CONTRACT REVIEW,Y
OJ,174513,1763545,HEALTH,RIDA GREENTREE LLC DBA DOUBLET,4/7/2015,4/14/2015,5272-15,255,,,,CONTRACT REVIEW,Y
PI,48529,CITY ONLY,PURCHASING,SMARDT EQUIPMENT,4/8/2015,4/7/2016,,261,,,,CONTRACT REVIEW,Y
OJ,174812,1782828,PARKS,L L BEAN INC,4/13/2015,4/12/2018,5408-15,255,,,,CONTRACT REVIEW,Y
OS,172547,123569,PUBLIC WORKS CAPITAL,BRAYMAN CONSTRUCTION,4/15/2015,8/13/2015,525915;623815,269,,,,CONTRACT REVIEW,Y
OS,172547,123569,PUBLIC WORKS CAPITAL,BRAYMAN CONSTRUCTION,4/15/2015,8/13/2015,6238-15,,,,,CONTRACT REVIEW,Y
OS,172547,123569,PUBLIC WORKS CAPITAL,BRAYMAN CONSTRUCTION,4/15/2015,8/13/2015,5259-15,253,,,,CONTRACT REVIEW,Y
OU,181485,136611,ECONOMIC DEVELOPMENT,REDEVELOPMENT AUTHORITY OF ALL,4/20/2015,4/19/2016,5872-15,270,,,,CONTRACT REVIEW,Y
OU,181485,136611,ECONOMIC DEVELOPMENT,REDEVELOPMENT AUTHORITY OF ALL,4/20/2015,4/16/2016,5872-15,269,,,,CONTRACT REVIEW,Y
OJ,175726,1967990,COUNTY SOLICITOR,NATIONWIDE INSURANCE COMPANY,4/20/2015,4/20/2015,5723-15,256,,,,CONTRACT REVIEW,Y
PI,48527,1164736,PURCHASING,A-Z JANITORIAL SERV,4/23/2015,4/23/2016,,260,,,,CONTRACT REVIEW,Y
OU,175091,644910,NON-DEPT EXPENDITURES,MAHOOD  SUSAN,4/28/2015,4/28/2015,5676-15,256,,,,CONTRACT REVIEW,Y
OU,182355,2227565,PUBLIC WORKS CAPITAL,HARBAUGH MARK A,4/30/2015,4/30/2025,6098-15,270,,,,CONTRACT REVIEW,Y
OU,182356,2227565,PUBLIC WORKS CAPITAL,HARBAUGH MARK A,4/30/2015,4/30/2025,6098-15,270,,,,CONTRACT REVIEW,Y
OU,182073,2225591,PUBLIC WORKS CAPITAL,REYNOLDS ROGER D,4/30/2015,4/30/2025,6098-15,270,,,,CONTRACT REVIEW,Y
OU,181822,2225595,PUBLIC WORKS CAPITAL,RHODES RICHARD R,4/30/2015,4/30/2025,6098-15,269,,,,CONTRACT REVIEW,Y
OU,181823,2225595,PUBLIC WORKS CAPITAL,RHODES RICHARD R,4/30/2015,4/30/2025,6098-15,269,,,,CONTRACT REVIEW,Y
PI,48961,199038,PURCHASING,EQUIPARTS,5/1/2015,4/30/2016,6604-15,270,,,,CONTRACT REVIEW,Y
OU,181876,133567,ECONOMIC DEVELOPMENT,MCKEESPORT HOUSING CORP,5/1/2015,4/30/2016,5762-15,269,,,,CONTRACT REVIEW,Y
OU,181216,123511,HUMAN SERVICES,BOULEVARD BLDG INC,5/1/2015,12/31/2020,5835-15,268,,,,CONTRACT REVIEW,N
PI,48574,CITY ONLY,PURCHASING,WEST PUBLISHING CORP,5/1/2015,4/30/2016,,268,,,,CONTRACT REVIEW,Y
OU,180163,139968,HEALTH,UNIVERSITY OF PITTSBURGH,5/1/2015,10/31/2016,5702-15,267,,,,CONTRACT REVIEW,Y
OU,179488,588067,HUMAN SERVICES,LEVIT DAVID E DR,5/1/2015,6/30/2016,,,,,,CONTRACT REVIEW,Y
PI,48555,CITY ONLY,PURCHASING,JAMES L SMITH INS,5/1/2015,4/30/2016,5650-15,264,,,,CONTRACT REVIEW,Y
OU,179163,800210,COURT OF COMMON PLEAS,SOUTH HILLS MOVERS INC,5/1/2015,4/30/2017,5854-15,263,,,,CONTRACT REVIEW,Y
OU,178902,2157242,FACILITIES MANAGEMENT,GOLON INC,5/1/2015,5/31/2016,5670-15,263,,,,CONTRACT REVIEW,Y
PI,48532,CITY ONLY,PURCHASING,N.GLANTZ & SON LLC,5/1/2015,3/31/2016,,261,,,,CONTRACT REVIEW,Y
PI,48118,CITY ONLY,PURCHASING,OVERHEAD DOOR CO OF WESTERN PA,5/1/2015,4/30/2016,,257,,,,CONTRACT REVIEW,Y
OU,176225,2186805,HEALTH,LONG KATHLEEN ELIZABETH,5/1/2015,9/30/2015,5734-15,257,,,,CONTRACT REVIEW,Y
OU,154074,132485,JAIL,MAHER DUESSEL CPA,5/1/2015,4/30/2016,633513;570114;568915,256,,,,CONTRACT REVIEW,Y
OU,175862,133695,HUMAN SERVICES,MERCY LIFE CENTER CORP DBA MER,5/1/2015,4/30/2016,5224-15,256,,,,CONTRACT REVIEW,Y
OU,175753,2184167,HEALTH,BEALAFELD LAUREN,5/1/2015,7/31/2015,5818-15,256,,,,CONTRACT REVIEW,Y
OU,175753,2184167,HEALTH,BEALAFELD LAUREN,5/1/2015,7/31/2015,5818-15,256,,,,CONTRACT REVIEW,Y
PI,48489,2181750,PURCHASING,LOAD O METER,5/1/2015,11/30/2016,,256,,,,CONTRACT REVIEW,Y
OU,175473,131936,HUMAN SERVICES,LIGHT OF LIFE MINISTRIES INC,5/1/2015,4/30/2016,5217-15,256,,,,CONTRACT REVIEW,Y
OU,175128,124929,HUMAN SERVICES,COMMUNITY HUMAN SERVICES CORP,5/1/2015,4/30/2016,5224-15,256,,,,CONTRACT REVIEW,Y
OJ,174507,2063135,PARKS,CR JRS CHIP INC DBA THE FIRST,5/1/2015,6/30/2015,5503-15,255,,,,CONTRACT REVIEW,Y
OU,175106,135297,ADMINISTRATIVE SERVICES,PARKS MOVING  STORAGE,5/1/2015,6/30/2015,,255,,,,CONTRACT REVIEW,Y
OU,30684,740322,KANE REGIONAL CENTERS,COMPLETE INTRAVENOUS ACCESS SE,5/1/2015,4/30/2016,5549-15,255,,,,CONTRACT REVIEW,Y
OU,174809,135835,HUMAN SERVICES,PGH AIDS TASK FORCE,5/1/2015,4/30/2016,5217-15,255,,,,CONTRACT REVIEW,Y
OU,175896,128715,HEALTH,HEALTHY START INC,5/4/2015,5/4/2015,5583-15,256,,,,CONTRACT REVIEW,Y
PI,48493,2150504,PURCHASING,OCV LLC,5/4/2015,5/3/2017,,256,,,,CONTRACT REVIEW,Y
OU,180129,2053918,PARKS,J T SAUER AND ASSOCIATES LLC,5/5/2015,12/31/2015,5801-15,267,,,,CONTRACT REVIEW,Y
OJ,175925,2183631,POLICE,SCREAMING SPIRIT PRODUCTIONS L,5/6/2015,5/10/2015,5672-15,256,,,,CONTRACT REVIEW,Y
OU,178866,136336,ECONOMIC DEVELOPMENT,QUAKER VALLEY COG,5/8/2015,12/31/2015,6124-15,263,,,,CONTRACT REVIEW,Y
OU,176147,2193418,HEALTH,SHAFFER RYAN,5/12/2015,8/28/2015,5733-15,256,,,,CONTRACT REVIEW,Y
OS,182502,1628030,PUBLIC WORKS CAPITAL,A MERANTE CONTRACTING INC,5/15/2015,5/31/2018,6138-15,270,,,,CONTRACT REVIEW,Y
OS,182501,131572,PUBLIC WORKS CAPITAL,THE LANE CONSTRUCTION CORP,5/15/2015,5/31/2018,6138-15,270,,,,CONTRACT REVIEW,
OS,182503,862357,PUBLIC WORKS CAPITAL,ALLISON PARK CONTRACTORS INC,5/15/2015,5/31/2018,6138-15,270,,,,CONTRACT REVIEW,Y
OS,182500,133806,PUBLIC WORKS CAPITAL,MICHAEL FACCHIANO CONTRACTING,5/15/2015,5/31/2018,6138-15,270,,,,CONTRACT REVIEW,
OU,179193,2161672,ECONOMIC DEVELOPMENT,SERENITY RIDGE HOUSING LP,5/18/2015,12/31/2016,6363-15,264,,,,CONTRACT REVIEW,Y
OU,177188,2193319,ECONOMIC DEVELOPMENT,HEIDELBERG APARTMENT ASSOCIATE,5/18/2015,12/31/2016,5877-15,257,,,,CONTRACT REVIEW,Y
OU,177188,2193319,ECONOMIC DEVELOPMENT,HEIDELBERG APARTMENT ASSOCIATE,5/18/2015,12/31/2016,5877-15,257,,,,CONTRACT REVIEW,Y
OU,176252,2196939,EMERGENCY MANAGEMENT,CANNON GLENN M ESQUIRE,5/20/2015,5/19/2016,5818-15,257,,,,CONTRACT REVIEW,Y
OU,176251,2196939,EMERGENCY MANAGEMENT,CANNON GLENN M ESQUIRE,5/20/2015,5/19/2016,5819-15,257,,,,CONTRACT REVIEW,Y
OJ,178704,137785,PARKS,KOSANOVICH SAMUEL G,5/25/2015,9/30/2017,597415,263,,,,CONTRACT REVIEW,Y
OS,175122,808614,PUBLIC WORKS CAPITAL,GARY METZINGER CEMENT CONTRACT,5/27/2015,10/9/2015,5560-15,269,,,,CONTRACT REVIEW,Y
OS,175122,808614,PUBLIC WORKS CAPITAL,GARY METZINGER CEMENT CONTRACT,5/27/2015,10/9/2015,5560-15,,,,,CONTRACT REVIEW,Y
OS,175122,808614,PUBLIC WORKS CAPITAL,GARY METZINGER CEMENT CONTRACT,5/27/2015,10/9/2015,5560-15,,,,,CONTRACT REVIEW,Y
PI,48492,2151934,PURCHASING,UNIVERSAL INDUSTRIAL SUPPLY,5/27/2015,5/27/2016,,256,,,,CONTRACT REVIEW,Y
PI,48960,CITY ONLY,PURCHASING,SOFSURFACES INC,6/1/2015,5/31/2018,,270,,,,CONTRACT REVIEW,Y
OU,178020,131551,HEALTH,LAMAR ADVERTISING CO,6/1/2015,9/30/2015,5978-15,270,,,,CONTRACT REVIEW,Y
PI,48595,123440,PURCHASING,BOB BARKER CO,6/1/2015,5/31/2016,,270,,,,CONTRACT REVIEW,
OS,176498,743540,PUBLIC WORKS CAPITAL,PHOENIX ROOFING INC,6/1/2015,10/27/2015,568015,269,,,,CONTRACT REVIEW,Y
OU,181286,1679491,HEALTH,FRIENDS OF THE PITTSBURGH URBA,6/1/2015,5/31/2016,5935-15,269,,,,CONTRACT REVIEW,Y
OJ,180463,2213404,EMERGENCY MANAGEMENT,PITTSBURGH SMSA LIMITED PARTNE,6/1/2015,5/31/2025,5980-15,268,,,,CONTRACT REVIEW,Y
PI,48557,2214129,PURCHASING,GOVERNMENT SCIENTIFIC SOURCE,6/1/2015,5/31/2016,,266,,,,CONTRACT REVIEW,Y
OS,172175,816761,PUBLIC WORKS CAPITAL,PUGLIANO CONSTRUCTION CO. INC.,6/1/2015,12/31/2015,6159-15,,,,,CONTRACT REVIEW,Y
OU,178020,131551,HEALTH,LAMAR ADVERTISING CO,6/1/2015,9/30/2015,5978-15,264,,,,CONTRACT REVIEW,Y
OU,178851,121949,HUMAN SERVICES,ALLEGHENY INTERMEDIATE UNIT,6/1/2015,6/30/2016,5925-15,262,,,,CONTRACT REVIEW,Y
OU,178475,139720,COURT OF COMMON PLEAS,TOWNSHIP OF SCOTT,6/1/2015,5/31/2020,5557-15,261,,,,CONTRACT REVIEW,Y
OU,178020,131551,HEALTH,LAMAR ADVERTISING CO,6/1/2015,9/30/2015,5978-15,260,,,,CONTRACT REVIEW,Y
OU,177978,2160160,PARKS,MCCAFFERY MYSTERIES INC,6/1/2015,4/30/2016,6243-15,260,,,,CONTRACT REVIEW,Y
PI,48526,2194406,PURCHASING,BIO FIRE DIAGNOSTICS,6/1/2015,12/31/2015,,260,,,,CONTRACT REVIEW,Y
PI,48525,1659117,PURCHAISNG,LINDENMEYR MUNROE,6/1/2015,5/31/2017,,260,,,,CONTRACT REVIEW,Y
PI,48523,CITY ONLY,PURCHASING,RECYCLE SOURCE LLC,6/1/2015,6/30/2016,,259,,,,CONTRACT REVIEW,Y
OU,177203,2199037,PARKS,WILLIAMS JERAHME,6/1/2015,8/31/2015,5960-15,258,,,,CONTRACT REVIEW,Y
OU,177204,2081458,PARKS,PROSSER GAVIN J,6/1/2015,8/31/2015,5960-15,258,,,,CONTRACT REVIEW,Y
OU,177205,2199036,PARKS,LARKIN AMANDA J,6/1/2015,8/31/2015,5960-15,258,,,,CONTRACT REVIEW,Y
OU,177206,2081467,PARKS,CLANCY DALE A JR,6/1/2015,8/31/2015,5960-15,258,,,,CONTRACT REVIEW,Y
OU,177207,2199038,PARKS,CORCORAN NICOLE,6/1/2015,8/31/2015,5960-15,258,,,,CONTRACT REVIEW,Y
OU,177208,2081461,PARKS,BROWN RENEE BARBARA ANN,6/1/2015,8/31/2015,5960-15,258,,,,CONTRACT REVIEW,Y
OU,177408,2199040,PARKS,WEIR SAMANTHA,6/1/2015,8/31/2015,5960-15,258,,,,CONTRACT REVIEW,Y
OU,177070,2199059,ADMINISTRATIVE SERVICES,UBER TECHNOLOGIES INC,6/1/2015,9/30/2015,5897-15,257,,,,CONTRACT REVIEW,Y
OJ,177017,99999999,PARKS,TREASURER OF ALLEG CO,6/1/2015,8/31/2015,5874-15,257,,,,CONTRACT REVIEW,Y
PI,48516,2151418,PURCHASING,TRI-COUNTY PETROLEUM INC,6/1/2015,5/31/2016,,257,,,,CONTRACT REVIEW,Y
PI,48515,2199068,PURCHASING,MICHAEL HOWARDINC,6/1/2015,5/31/2016,,257,,,,CONTRACT REVIEW,Y
PI,48508,CITY ONLY,PURCHASING,WHITNEYS MOBILE WASH IN,6/1/2015,5/31/2016,,257,,,,CONTRACT REVIEW,Y
OJ,176314,555555,COUNTY SOLICITOR,HISTORICAL SOCIETY OF WESTERN PA,6/1/2015,6/1/2025,5828-15,257,,,,CONTRACT REVIEW,Y
OS,176498,743540,PUBLIC WORKS CAPITAL,PHOENIX ROOFING INC,6/1/2015,9/28/2015,5680-15,257,,,,CONTRACT REVIEW,Y
PI,48352,126528,PURCHASING,E H GRIFFITH INC,6/1/2015,5/31/2016,,256,,,,CONTRACT REVIEW,Y
PI,48351,774904,PURCHASING,FEDEROUCH LANDSCAPE SUPPLY,6/1/2015,5/31/2016,,256,,,,CONTRACT REVIEW,Y
PI,48387,681965,PURCHASING,HELENA CHEMICAL CO,6/1/2015,3/31/2016,,256,,,,CONTRACT REVIEW,Y
PI,48286,1608268,PURCHASING,HODGES RASH CO INC,6/1/2015,5/31/2016,,256,,,,CONTRACT REVIEW,Y
PI,48362,1623014,PURCHASING,KEYSTONE TURF,6/1/2015,5/31/2016,,256,,,,CONTRACT REVIEW,Y
OU,175984,1716399,NON-DEPT EXPENDITURES,SWENSEN  PERER,6/1/2015,6/1/2015,5852-15,256,,,,CONTRACT REVIEW,Y
PI,48327,127712,PURCHASING,FRANK BRYAN INC,6/1/2015,5/31/2016,,256,,,,CONTRACT REVIEW,Y
OU,173847,128308,HUMAN SERVICES,GOODWILL OF SOUTHWESTERN PENNS,6/1/2015,5/31/2016,5211-15,254,,,,CONTRACT REVIEW,Y
OU,173034,123253,HUMAN SERVICES,BETHLEHEM HAVEN,6/1/2015,5/31/2016,5223-15,253,,,,CONTRACT REVIEW,Y
OU,175986,2193320,NON-DEPT EXPENDITURES,FRONZAGLIO SARAH L,6/3/2015,6/3/2015,5880-15,256,,,,CONTRACT REVIEW,Y
OU,177341,128308,ECONOMIC DEVELOPMENT,GOODWILL OF SOUTHWESTERN PENNS,6/4/2015,6/30/2016,593115;667215,270,,,,CONTRACT REVIEW,Y
OJ,181820,1005190,PUBLIC WORKS CAPITAL,QUAKER VALLEY SCHOOL DISTRICT,6/4/2015,6/4/2025,6103-15,269,,,,CONTRACT REVIEW,Y
OU,180086,1093268,PUBLIC WORKS CAPITAL,JEFFERSON MEMEORIAL PARK INC,6/4/2015,6/4/2025,6099-15,267,,,,CONTRACT REVIEW,Y
OJ,179512,1418008,PUBLIC WORKS CAPITAL,COLLIER TOWNSHIP MUNICIPAL AUT,6/4/2015,6/4/2025,6154-15,265,,,,CONTRACT REVIEW,Y
OU,178451,123657,PUBLIC WORKS CAPITAL,BROUGHTON VOL  FIRE CO,6/4/2015,6/4/2025,6099-15,261,,,,CONTRACT REVIEW,Y
PI,48589,CITY ONLY,PURCHASING,EVERLAST DBA DERO,6/8/2015,6/7/2017,,269,,,,CONTRACT REVIEW,Y
OS,177185,2199890,PUBLIC WORKS CAPITAL,MELE MELE SONS INC,6/8/2015,12/9/2015,5683-15,269,,,,CONTRACT REVIEW,Y
PI,48552,CITY ONLY,PURCHASING,WALSH EQUIPMENT,6/8/2015,6/7/2017,6175-15,264,,,,CONTRACT REVIEW,Y
OU,178614,134092,ECONOMIC DEVELOPMENT,MON VALLEY INITIATIVE,6/8/2015,12/31/2016,6038-15,261,,,,CONTRACT REVIEW,Y
PI,48530,CITY ONLY,PURCHASING,E.H. GRIFFITH,6/8/2015,6/7/2016,,261,,,,CONTRACT REVIEW,Y
OS,177185,2199890,PUBLIC WORKS CAPITAL,MELE MELE SONS INC,6/8/2015,11/5/2015,5683-15,257,,,,CONTRACT REVIEW,Y
PI,48536,2207129,PURCHASING,MIDLAND ASPHALT MATERIALS,6/9/2015,6/9/2016,,261,,,,CONTRACT REVIEW,Y
PI,48514,1563866,PURCHASING,CELLEBRITE INC,6/10/2015,12/31/2015,,257,,,,CONTRACT REVIEW,Y
PI,48321,2094503,PURCHAISNG,EMPIRE COMMUNICATION,6/12/2015,6/12/2016,,264,,,,CONTRACT REVIEW,Y
PI,48528,1739371,PURCHASING,LIFE TECHNOLOGIES,6/15/2015,6/14/2016,,260,,,,CONTRACT REVIEW,Y
OJ,179099,555555,PUBLIC WORKS CAPITAL,EQT CORPORATION,6/16/2015,12/31/2015,6060-15,263,,,,CONTRACT REVIEW,Y
PI,48565,141781,PURCHASING,TELEDYNE ADVANCED POLLUTION,6/22/2015,6/21/2016,,267,,,,CONTRACT REVIEW,Y
OU,177406,2199102,SHUMAN CENTER,LEWIS JACQUELYN,6/22/2015,8/28/2015,6057-15,258,,,,CONTRACT REVIEW,Y
OU,177210,1517725,SHUMAN CENTER,LACROIX CHRISTINE,6/22/2015,8/28/2015,6017-15,258,,,,CONTRACT REVIEW,Y
OU,176801,1417144,SHUMAN CENTER,COX PAULA M,6/22/2015,8/28/2015,5765-15,257,,,,CONTRACT REVIEW,Y
OU,176178,2186797,SHUMAN CENTER,NELSON BOWE DESIREE H,6/22/2015,8/28/2015,5765-15,256,,,,CONTRACT REVIEW,Y
OU,175748,2183501,SHUMAN CENTER,FLOYD TAMIKA,6/22/2015,8/28/2015,5660-15,256,,,,CONTRACT REVIEW,Y
OU,175741,1603887,SHUMAN CENTER,CRYSTIAN JASMYN,6/22/2015,8/28/2015,5679-15,256,,,,CONTRACT REVIEW,Y
OU,175433,2177570,SHUMAN CENTER,MOOREFIELD CLAY,6/22/2015,8/28/2015,5694-15,256,,,,CONTRACT REVIEW,Y
OU,174625,1628054,SHUMAN CENTER,ORR JASON,6/22/2015,8/28/2015,5358-15,255,,,,CONTRACT REVIEW,Y
OU,174624,2081296,SHUMAN CENTER,HOEL VICTORIA,6/22/2015,8/28/2015,5358-15,255,,,,CONTRACT REVIEW,Y
OU,174623,586595,SHUMAN CENTER,GALLOWAY DENNIS,6/22/2015,8/28/2015,5358-15,255,,,,CONTRACT REVIEW,Y
OU,174618,1430954,SHUMAN CENTER,SMILEY DR ROSALIE,6/22/2015,8/28/2015,5358-15,255,,,,CONTRACT REVIEW,Y
OU,174620,2178560,SHUMAN CENTER,PRITHVIRAJ CHITRA,6/22/2015,8/28/2015,5660-15,255,,,,CONTRACT REVIEW,Y
OU,174621,2068106,SHUMAN CENTER,WILLIAMS J D DBA DEGREES OF A,6/22/2015,8/28/2015,5358-15,255,,,,CONTRACT REVIEW,Y
OU,174612,2070997,SHUMAN CENTER,WASHINGTON CARMEN F,6/22/2015,8/28/2015,5358-15,255,,,,CONTRACT REVIEW,Y
OU,174613,1787721,SHUMAN CENTER,DIXON-MASON MARLA,6/22/2015,8/28/2015,5358-15,255,,,,CONTRACT REVIEW,Y
OU,178640,1605959,SHUMAN CENTER,FLORIDA GERALDINE,6/24/2015,10/9/2015,6258-15,261,,,,CONTRACT REVIEW,Y
OS,176777,1628030,PUBLIC WORKS,AMERANTE CONTRACTING INC,6/29/2015,11/30/2015,5709-15,270,,,,CONTRACT REVIEW,Y
OU,181217,141255,HEALTH,PORT AUTHORITY,6/29/2015,7/28/2015,5857-15,269,,,,CONTRACT REVIEW,Y
OU,180083,140380,JUVENILE COURT PLACEMENT,VISIONQUEST NATIONAL LTD,6/29/2015,6/30/2016,6196-15,267,,,,CONTRACT REVIEW,Y
PI,47631,,PURCHASING,SBM ELECTRONICS INC,6/29/2015,6/29/2016,,259,,,,CONTRACT REVIEW,Y
OS,176777,1628030,PUBLIC WORKS CAPITAL,A MERANTE CONTRACTING INC,6/29/2015,10/27/2015,5709-15,257,,,,CONTRACT REVIEW,Y
OU,182728,132495,HUMAN SERVICES,MAINSTAY LIFE SERVICE,7/1/2015,6/30/2016,5883-15,270,,,,CONTRACT REVIEW,
OU,177814,142657,HUMAN SERVICES,DIVERSIFIED CARE MANAGEMENT LL,7/1/2015,6/30/2016,6476-15,270,,,,CONTRACT REVIEW,Y
OU,178688,136698,HUMAN SERVICES,RENEWAL  INC,7/1/2015,6/30/2016,6820-15,270,,,,CONTRACT REVIEW,Y
OU,178022,138682,HUMAN SERVICES,STEP-BY-STEP INC,7/1/2015,6/30/2016,6704-15,270,,,,CONTRACT REVIEW,Y
OU,175709,1077110,COURT OF COMMON PLEAS,WASHINGTON CENTER PROPERTIES L,7/1/2015,6/30/2025,5512-15,270,,,,CONTRACT REVIEW,Y
OU,178687,125075,HUMAN SERVICES,CORNELL ABRAXAS GROUP INC,7/1/2015,6/30/2016,6745-15,270,,,,CONTRACT REVIEW,Y
OU,176877,126576,HUMAN SERVICES,EASTERN AREA ADULT SERVICES IN,7/1/2015,6/30/2016,5784-15,270,,,,CONTRACT REVIEW,Y
OU,178587,134876,HUMAN SERVICES,NORTHERN AREA MULTI-SERVICE CE,7/1/2015,6/30/2016,592715;670015,270,,,,CONTRACT REVIEW,Y
OU,178981,139563,HUMAN SERVICES,THREE RIVERS YOUTH,7/1/2015,6/30/2016,620915;679015,270,,,,CONTRACT REVIEW,Y
OU,182625,1401830,JUVENILE COURT PLACEMENT,CHILD  ADOLESCENT CLINICAL AS,7/1/2015,6/30/2016,6160-15,270,,,,CONTRACT REVIEW,
OU,178984,121967,HUMAN SERVICES,ALLEGHENY SINGER RESEARCH INST,7/1/2015,6/30/2016,6133-15,270,,,,CONTRACT REVIEW,Y
OU,44460,783381,KANE REGIONAL CENTERS,MCKEESPORT AMBULANCE RESCUE SE,7/1/2015,5/31/2016,66505;589611;632912,270,,,,CONTRACT REVIEW,Y
OU,177797,136204,HUMAN SERVICES,PRESSLEY RIDGE,7/1/2015,6/30/2016,611715;678715,270,,,,CONTRACT REVIEW,Y
